OldDamAssetId,RunnerId,NewDamAssetId
2337041,5320275,5320275rid
2337040,5320274,5320274rid
2337039,5320273,5320273rid
2337038,5320272,5320272rid
2337037,5320271,5320271rid
2337036,5320270,5320270rid
2337035,5320269,5320269rid
2337034,5320268,5320268rid
2337033,5320267,5320267rid
2337032,5320266,5320266rid
2337031,5320265,5320265rid
2337030,5320264,5320264rid
2337029,5320263,5320263rid
2337028,5320262,5320262rid
2337025,5320261,5320261rid
2337024,5320260,5320260rid
2337023,5320259,5320259rid
2337022,5320258,5320258rid
2337021,5320257,5320257rid
2337020,5320256,5320256rid
2337019,5320255,5320255rid
2337018,5320254,5320254rid
2337017,5320253,5320253rid
2337016,5320252,5320252rid
2337015,5320251,5320251rid
2337014,5320250,5320250rid
2337012,5320249,5320249rid
2337011,5320248,5320248rid
2337009,5320247,5320247rid
2337008,5320246,5320246rid
2337007,5320245,5320245rid
2337006,5320244,5320244rid
2337005,5320243,5320243rid
2337004,5320242,5320242rid
2337003,5320241,5320241rid
2337000,5320240,5320240rid
2336999,5320239,5320239rid
2336998,5320238,5320238rid
2336997,5320237,5320237rid
2336996,5320236,5320236rid
2336995,5320235,5320235rid
2336994,5320234,5320234rid
2336993,5320233,5320233rid
2336992,5320232,5320232rid
2336977,5320231,5320231rid
2336976,5320230,5320230rid
2336975,5320229,5320229rid
2336973,5320228,5320228rid
2336972,5320227,5320227rid
2336971,5320226,5320226rid
2336970,5320225,5320225rid
2336969,5320224,5320224rid
2336968,5320223,5320223rid
2335138,5320222,5320222rid
2335136,5320221,5320221rid
2335135,5320220,5320220rid
2335133,5320219,5320219rid
2335132,5320218,5320218rid
2335131,5320217,5320217rid
2335130,5320216,5320216rid
2335129,5320215,5320215rid
2335126,5320214,5320214rid
2334303,5320213,5320213rid
2334302,5320212,5320212rid
2334301,5320211,5320211rid
2334300,5320210,5320210rid
2334299,5320209,5320209rid
2334298,5320208,5320208rid
2334297,5320207,5320207rid
2334296,5320206,5320206rid
2334295,5320205,5320205rid
2334294,5320204,5320204rid
2334292,5320203,5320203rid
2334291,5320202,5320202rid
2334290,5320201,5320201rid
2334289,5320200,5320200rid
2334288,5320199,5320199rid
2334287,5320198,5320198rid
2334286,5320197,5320197rid
2334285,5320196,5320196rid
2334284,5320195,5320195rid
2334283,5320194,5320194rid
2334281,5320193,5320193rid
2334280,5320192,5320192rid
2334279,5320191,5320191rid
2334278,5320190,5320190rid
2334277,5320189,5320189rid
2334276,5320188,5320188rid
2334275,5320187,5320187rid
2334274,5320186,5320186rid
2334273,5320185,5320185rid
2334272,5320184,5320184rid
2334271,5320183,5320183rid
2334270,5320182,5320182rid
2334269,5320181,5320181rid
2334268,5320180,5320180rid
2334267,5320179,5320179rid
2334266,5320178,5320178rid
2334265,5320177,5320177rid
2334264,5320176,5320176rid
2334263,5320175,5320175rid
2334262,5320174,5320174rid
2334261,5320173,5320173rid
2334260,5320172,5320172rid
2334259,5320171,5320171rid
2334258,5320170,5320170rid
2334257,5320169,5320169rid
2334256,5320168,5320168rid
2334255,5320167,5320167rid
2334254,5320166,5320166rid
2334253,5320165,5320165rid
2334252,5320164,5320164rid
2334251,5320163,5320163rid
2334250,5320162,5320162rid
2334249,5320161,5320161rid
2334248,5320160,5320160rid
2334247,5320159,5320159rid
2334246,5320158,5320158rid
2334245,5320157,5320157rid
2334244,5320156,5320156rid
2334243,5320155,5320155rid
2334242,5320154,5320154rid
2334241,5320153,5320153rid
2334240,5320152,5320152rid
2334239,5320151,5320151rid
2334238,5320150,5320150rid
2334237,5320149,5320149rid
2334236,5320148,5320148rid
2334235,5320147,5320147rid
2334233,5320146,5320146rid
2334232,5320145,5320145rid
2334223,5320144,5320144rid
2334221,5320143,5320143rid
2334220,5320142,5320142rid
2334219,5320141,5320141rid
2334218,5320140,5320140rid
2334217,5320139,5320139rid
2334216,5320138,5320138rid
2334215,5320137,5320137rid
2334214,5320136,5320136rid
2334213,5320135,5320135rid
2334212,5320134,5320134rid
2334211,5320133,5320133rid
2334210,5320132,5320132rid
2334209,5320131,5320131rid
2334208,5320130,5320130rid
2334207,5320129,5320129rid
2334206,5320128,5320128rid
2334204,5320127,5320127rid
2334201,5320126,5320126rid
2334200,5320125,5320125rid
2334199,5320124,5320124rid
2334198,5320123,5320123rid
2334197,5320122,5320122rid
2334196,5320121,5320121rid
2334195,5320120,5320120rid
2334194,5320119,5320119rid
2334193,5320118,5320118rid
2334191,5320117,5320117rid
2334190,5320116,5320116rid
2334189,5320115,5320115rid
2334188,5320114,5320114rid
2334187,5320113,5320113rid
2334186,5320112,5320112rid
2334185,5320111,5320111rid
2334184,5320110,5320110rid
2334183,5320109,5320109rid
2334182,5320108,5320108rid
2334181,5320107,5320107rid
2334180,5320106,5320106rid
2334179,5320105,5320105rid
2334178,5320104,5320104rid
2334177,5320103,5320103rid
2334175,5320102,5320102rid
2334173,5320101,5320101rid
2334172,5320100,5320100rid
2334171,5320099,5320099rid
2334169,5320098,5320098rid
2334167,5320097,5320097rid
2334166,5320096,5320096rid
2334165,5320095,5320095rid
2334163,5320094,5320094rid
2334162,5320093,5320093rid
2334160,5320092,5320092rid
2334159,5320091,5320091rid
2334158,5320090,5320090rid
2334157,5320089,5320089rid
2334156,5320088,5320088rid
2334155,5320087,5320087rid
2334154,5320086,5320086rid
2334153,5320085,5320085rid
2334152,5320084,5320084rid
2334147,5320083,5320083rid
2334146,5320082,5320082rid
2334145,5320081,5320081rid
2334144,5320080,5320080rid
2334143,5320079,5320079rid
2334142,5320078,5320078rid
2334140,5320077,5320077rid
2334135,5320076,5320076rid
2334133,5320075,5320075rid
2334131,5320074,5320074rid
2334130,5320073,5320073rid
2334128,5320072,5320072rid
2334126,5320071,5320071rid
2334124,5320070,5320070rid
2334123,5320069,5320069rid
2334121,5320068,5320068rid
2334119,5320067,5320067rid
2334118,5320066,5320066rid
2334117,5320065,5320065rid
2334115,5320064,5320064rid
2334114,5320063,5320063rid
2334113,5320062,5320062rid
2334110,5320061,5320061rid
2334109,5320060,5320060rid
2334107,5320059,5320059rid
2334105,5320058,5320058rid
2334104,5320057,5320057rid
2334103,5320056,5320056rid
2334102,5320055,5320055rid
2334101,5320054,5320054rid
2334097,5320053,5320053rid
2334096,5320052,5320052rid
2334095,5320051,5320051rid
2334094,5320050,5320050rid
2334093,5320049,5320049rid
2334086,5320048,5320048rid
2334085,5320047,5320047rid
2334084,5320046,5320046rid
2334083,5320045,5320045rid
2334082,5320044,5320044rid
2334080,5320043,5320043rid
2334076,5320042,5320042rid
2334067,5320041,5320041rid
2334066,5320040,5320040rid
2334064,5320039,5320039rid
2334058,5320038,5320038rid
2334056,5320037,5320037rid
2334038,5320036,5320036rid
2334028,5320035,5320035rid
2334027,5320034,5320034rid
2334026,5320033,5320033rid
2334025,5320032,5320032rid
2334006,5320031,5320031rid
2334005,5320030,5320030rid
2334004,5320029,5320029rid
2334001,5320028,5320028rid
2334000,5320027,5320027rid
2333999,5320026,5320026rid
2333998,5320025,5320025rid
2333993,5320024,5320024rid
2333992,5320023,5320023rid
2333991,5320022,5320022rid
2333990,5320021,5320021rid
2333989,5320020,5320020rid
2333986,5320019,5320019rid
2333985,5320018,5320018rid
2333984,5320017,5320017rid
2333983,5320016,5320016rid
2333981,5320015,5320015rid
2333978,5320014,5320014rid
2333977,5320013,5320013rid
2333973,5320012,5320012rid
2333972,5320011,5320011rid
2333969,5320010,5320010rid
2333968,5320009,5320009rid
2333967,5320008,5320008rid
2333966,5320007,5320007rid
2333965,5320006,5320006rid
2333963,5320005,5320005rid
2333962,5320004,5320004rid
2333960,5320003,5320003rid
2333959,5320002,5320002rid
2333957,5320001,5320001rid
2333956,5320000,5320000rid
2333955,5319999,5319999rid
2333954,5319998,5319998rid
2333953,5319997,5319997rid
2333952,5319996,5319996rid
2333951,5319995,5319995rid
2333950,5319994,5319994rid
2333948,5319993,5319993rid
2333947,5319992,5319992rid
2333946,5319991,5319991rid
2333945,5319990,5319990rid
2333944,5319989,5319989rid
2333943,5319988,5319988rid
2333942,5319987,5319987rid
2333941,5319986,5319986rid
2333940,5319985,5319985rid
2333938,5319984,5319984rid
2333937,5319983,5319983rid
2333936,5319982,5319982rid
2333935,5319981,5319981rid
2333933,5319980,5319980rid
2333932,5319979,5319979rid
2333930,5319978,5319978rid
2333928,5319977,5319977rid
2333926,5319976,5319976rid
2333925,5319975,5319975rid
2333924,5319974,5319974rid
2333923,5319973,5319973rid
2333921,5319972,5319972rid
2333920,5319971,5319971rid
2333902,5319970,5319970rid
2333901,5319969,5319969rid
2333900,5319968,5319968rid
2333894,5319967,5319967rid
2333893,5319966,5319966rid
2333892,5319965,5319965rid
2333891,5319964,5319964rid
2333890,5319963,5319963rid
2333889,5319962,5319962rid
2333853,5319961,5319961rid
2333852,5319960,5319960rid
2333851,5319959,5319959rid
2333850,5319958,5319958rid
2333849,5319957,5319957rid
2333848,5319956,5319956rid
2333847,5319955,5319955rid
2333846,5319954,5319954rid
2333845,5319953,5319953rid
2333808,5319952,5319952rid
2333807,5319951,5319951rid
2333806,5319950,5319950rid
2333804,5319949,5319949rid
2333801,5319948,5319948rid
2333800,5319947,5319947rid
2333799,5319946,5319946rid
2333798,5319945,5319945rid
2333797,5319944,5319944rid
2333737,5319943,5319943rid
2333734,5319942,5319942rid
2333732,5319941,5319941rid
2333731,5319940,5319940rid
2333729,5319939,5319939rid
2333727,5319938,5319938rid
2333725,5319937,5319937rid
2333724,5319936,5319936rid
2333723,5319935,5319935rid
2333045,5319934,5319934rid
2333044,5319933,5319933rid
2333043,5319932,5319932rid
2333041,5319931,5319931rid
2333040,5319930,5319930rid
2333039,5319929,5319929rid
2333034,5319928,5319928rid
2333033,5319927,5319927rid
2333031,5319926,5319926rid
2332995,5319925,5319925rid
2332994,5319924,5319924rid
2332993,5319923,5319923rid
2332992,5319922,5319922rid
2332991,5319921,5319921rid
2332990,5319920,5319920rid
2332989,5319919,5319919rid
2332988,5319918,5319918rid
2332985,5319917,5319917rid
2332112,5319916,5319916rid
2331798,5319915,5319915rid
2331797,5319914,5319914rid
2331796,5319913,5319913rid
2331795,5319912,5319912rid
2331794,5319911,5319911rid
2331793,5319910,5319910rid
2331792,5319909,5319909rid
2331791,5319908,5319908rid
2331790,5319907,5319907rid
2331764,5319906,5319906rid
2330654,5319905,5319905rid
2330653,5319904,5319904rid
2330651,5319903,5319903rid
2330650,5319902,5319902rid
2330647,5319901,5319901rid
2330646,5319900,5319900rid
2330645,5319899,5319899rid
2330644,5319898,5319898rid
2330643,5319897,5319897rid
2329446,5319896,5319896rid
2329445,5319895,5319895rid
2329444,5319894,5319894rid
2329443,5319893,5319893rid
2329442,5319892,5319892rid
2329441,5319891,5319891rid
2329440,5319890,5319890rid
2329439,5319889,5319889rid
2329438,5319888,5319888rid
2329410,5319887,5319887rid
2329409,5319886,5319886rid
2329408,5319885,5319885rid
2329407,5319884,5319884rid
2329406,5319883,5319883rid
2329405,5319882,5319882rid
